IDFolio,IDNumVehiculo,TipoVehiculo,IDMarca,AgnoFabricacion,Cilindrada,TipoMotor,SelloVerde,VehiculoEmpresa,TieneTag,trabajo,Modelo
3011900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
3011908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4005001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4005004,119,3,71,2003,2400,1,1,2,2,2,S10 Apache          
4005006,118,1,166,2002,1800,1,2,2,2,2,elantra             
4005007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4006908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4009001,120,3,347,2008,2000,2,1,2,-1,2,Action              
4009013,121,1,274,1989,1600,1,2,2,2,2,Astra               
4009013,122,3,71,2013,2500,2,1,2,-1,2,dimax               
4009015,123,1,75,2011,1600,1,1,2,2,2,C3 Picasso          
4013900,192,5,367,1984,2000,2,2,2,2,2,HASE                
5003003,123,1,166,2011,1600,1,2,2,2,2,elantra             
5003004,122,1,352,1990,2200,1,2,2,2,2,legacy              
5003005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5004001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5004002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5004003,128,1,197,2011,1600,1,2,2,2,2,morning             
5010001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5010003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5010006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5010008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5010011,119,1,367,2010,1800,1,1,2,2,2,rav                 
5010011,120,3,95,1998,2300,1,1,2,2,2,dakota              
5010016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5011017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5011028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5011057,295,3,1,2013,2000,2,1,2,2,2,corando             
5011061,297,3,110,2012,1300,1,1,2,2,2,estrada             
5011061,298,2,193,2013,650,1,1,2,2,2,klr                 
5011162,299,3,118,2007,2300,1,1,2,2,2,ranger              
5011900,296,1,279,2008,1400,1,1,2,2,2,206                 
5011901,331,1,71,2004,1600,1,2,2,2,2,corsa               
5012006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5012010,127,1,71,1969,3000,1,2,2,2,2,biscain             
5018037,334,1,197,2010,2400,1,1,2,2,2,sorento             
5018900,335,3,356,2011,2000,2,1,2,2,2,vitara              
5018901,333,1,71,2008,4100,1,1,2,2,2,silverado           
5018902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5018903,332,3,71,1998,2400,1,1,2,2,2,luv                 
5022004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022046,121,1,367,1990,1300,1,2,2,2,2,corola              
5022100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5029014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5029065,126,1,384,2003,2000,1,1,2,-1,2,bora                
5029089,127,1,83,1999,1600,1,2,2,2,2,novira              
5029123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5029137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5030003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5030004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5030005,125,1,367,2010,2300,1,1,2,2,2,yaris               
5030008,120,3,71,1993,2300,2,1,2,2,2,luv                 
5030008,121,1,352,2006,2600,1,1,2,-1,2,impresa             
5030018,124,3,250,1994,2300,2,1,2,2,2,n200                
6003001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6003004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6003005,130,1,356,2013,1000,1,2,2,2,2,ALTO                
6003007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6003011,131,1,356,1999,1600,1,1,2,2,-1,Valeno              
6003013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6003015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6018016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6018022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6018024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6018029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6018030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7002009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7002014,218,3,71,1991,2300,1,2,2,2,2,LUV                 
7002016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7002018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7002019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7002023,217,3,356,1992,1300,1,2,2,2,2,samurai             
7002024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7002026,149,4,166,1998,2500,2,1,2,2,-1,grace dix           
7002026,150,4,166,1998,2500,2,1,2,2,2,dix grace           
7002028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7019004,136,1,243,2011,1800,1,1,2,2,2,l180                
7019004,137,1,285,2013,2000,1,1,2,2,2,cayene              
7019009,134,1,269,2013,2500,2,1,2,2,2,terrano             
7019009,135,3,182,2011,3000,1,1,2,2,2,cheroky             
7019021,141,3,242,2013,2500,2,1,2,2,2,bt50                
7019021,142,1,242,2011,2000,1,1,2,2,2,c7                  
7019028,143,1,352,2005,2000,1,1,2,2,2,inpresa             
7019900,138,3,269,2011,2400,1,1,-1,2,-1,navara              
7019900,139,3,182,2012,3600,1,1,2,2,2,cheroki             
7019900,140,1,156,2004,2400,1,1,2,2,2,acord               
7025003,148,1,317,2010,1600,1,1,2,2,2,besta               
7025009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7025011,145,1,356,2008,1300,1,1,2,2,2,alto                
7025012,144,1,166,1997,1500,1,1,2,2,2,assent              
7025012,147,4,197,2003,3000,2,1,2,2,-1,besta               
7025016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7033001,184,3,197,2010,2500,2,1,2,2,2,sorento             
7033002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7033003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7039005,224,1,269,2013,2200,2,1,2,2,2,suv                 
7039005,225,1,279,2010,2000,1,1,2,2,2,308                 
7039007,223,1,367,2009,1800,1,1,2,2,2,yaris               
7039016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7039020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7039021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7040003,173,1,356,1998,1600,1,1,2,2,2,marutti             
7040011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7040012,175,1,156,2011,1300,1,1,2,2,2,getz                
7040013,174,1,367,2011,2000,1,1,2,2,2,yaris               
7040014,176,1,156,2010,1300,1,1,2,2,2,fit                 
7045009,171,1,279,2011,1600,1,1,2,2,2,301                 
7045015,172,1,166,2009,2000,1,1,-1,2,-1,elantra             
7052014,170,1,166,1999,1600,1,1,2,2,2,elantra             
7053001,178,1,367,2011,1600,1,1,2,2,2,yaris               
7053002,179,1,302,2011,2000,1,1,2,2,2,no sabe             
7053002,180,1,279,2012,1600,1,1,2,2,2,308                 
7053003,177,3,156,2011,2500,1,1,2,2,2,CR-V                
7053004,181,1,279,2012,1600,1,1,2,2,2,308                 
7053004,182,3,166,2011,2000,2,1,2,2,2,tuxon               
7053004,183,1,367,2010,1500,1,1,2,2,-1,yaris               
7062005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7062006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7062009,209,1,166,2013,1000,1,1,2,2,2,i10                 
7062010,201,1,356,2004,1600,1,1,2,2,2,balena              
7062012,200,1,352,2000,2000,1,1,2,2,2,legacy              
7062013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7062015,210,1,274,1995,1400,1,2,2,2,2,astra               
7062016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7062023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8004008,166,3,367,1997,2400,1,2,2,2,2,HILUX               
8004018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8004021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8004028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8004900,164,1,279,1989,1980,1,2,2,2,2,405                 
8004901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8004902,225,1,166,2009,1400,1,1,2,2,2,acsent              
8013001,144,1,352,2001,2400,1,1,2,2,2,forester            
8013005,145,1,166,2005,1600,1,1,2,2,2,axel                
8013005,146,1,243,2010,2000,2,1,2,2,2,no sabe             
8013006,147,1,367,2007,1600,1,1,2,2,2,corola              
8013006,148,1,71,2012,1800,1,2,2,2,2,optra               
8013006,151,6,356,2008,1400,1,1,2,2,2,jimy                
8013010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8013014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8020039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8020043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8020052,167,1,156,1992,2800,1,2,2,2,2,INTEGRAL            
8020054,171,1,279,1998,1600,1,1,2,2,2,205                 
8020054,172,1,71,2013,1600,1,1,2,2,2,soni                
8020900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8020901,173,1,279,1987,2000,1,2,2,2,2,505                 
8020903,179,1,352,1990,1600,1,2,2,2,2,loyale              
8020904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8020905,221,1,71,2008,1600,1,1,2,2,2,corsa               
8020906,222,1,356,2011,1500,1,1,2,2,2,swift               
8020906,223,3,166,2007,2900,2,1,2,2,2,terracan            
8020906,224,8,166,2006,2500,2,1,2,2,-1,h100                
8032006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8032008,133,1,118,1989,1800,1,2,2,2,2,taus                
8032012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8032014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8032016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8045008,130,1,269,2013,2000,1,1,-1,2,2,station             
8045008,131,1,250,2010,2400,1,1,2,2,2,station             
8045017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8045019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8045022,129,1,356,1998,2000,1,1,-1,2,-1,legacy              
8045024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8056002,189,1,317,2013,1600,1,1,2,2,-1,SM3                 
8056002,190,1,352,1989,1600,1,2,2,2,2,LEGACY              
8056002,191,1,242,1996,1600,1,2,2,2,2,323                 
8056003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8056004,180,1,356,2008,1600,1,1,2,2,2,sx4                 
8056004,181,3,367,2000,2800,2,2,2,2,2,hilux               
8056006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8056009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9019010,232,3,352,1998,2000,1,1,2,2,2,forester            
9019010,252,3,269,2012,1600,1,1,2,2,-1,cashcai             
9019010,253,1,269,2012,1600,1,1,2,2,2,tida                
9019014,228,3,138,2011,2000,1,1,-1,2,-1,wingle              
9019016,229,3,367,1999,2400,1,1,2,2,2,hilux               
9019016,230,1,367,1999,1600,1,1,2,2,2,tercel              
9019020,231,3,166,2013,2000,2,1,2,2,2,asnta fe            
9019900,233,3,71,2013,2500,2,1,-1,-1,-1,lux                 
9019900,234,3,367,2009,4000,1,1,2,2,2,4runner             
9020003,246,1,367,2013,2100,1,1,2,-1,-1,yaris               
9020006,240,1,352,1997,1800,1,1,2,2,2,LEGACY              
9020010,238,1,356,2012,1000,1,1,2,2,2,CELERIO             
9020010,239,6,120,2012,1600,1,1,2,2,-1,MIDI                
9020018,244,1,367,2006,1600,1,1,2,2,2,corola              
9020018,245,1,166,2008,2000,2,1,2,2,-1,tucson              
9020020,241,3,118,2011,2500,2,1,2,2,-1,ranger              
9020020,242,1,166,2008,2500,2,1,2,2,2,santa fe            
9020021,243,1,367,1998,1500,1,1,2,2,2,tercel              
9020025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9020026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9020900,236,5,356,1995,1000,1,1,2,2,-1,CARRI 100           
9020900,237,1,71,1988,1600,1,2,2,2,2,NOVA                
9030017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9030021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9030025,177,1,269,2012,1600,1,1,2,2,2,versa               
9030033,158,1,269,2005,1600,1,1,2,2,-1,v16                 
9030033,159,3,118,1996,2300,1,1,2,2,2,ranger              
9030037,178,1,71,2005,1600,1,1,2,2,2,corsa               
9032007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9032020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9032028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9032031,235,3,138,2012,2000,1,2,2,2,2,haval 3             
9032032,157,1,197,2010,1600,1,1,2,2,2,cerato              
9032036,168,1,269,2010,1600,1,1,2,2,2,tiida               
9032065,167,1,71,2003,2000,1,1,2,2,2,astra               
9032900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9032901,249,1,367,1996,1500,1,1,2,2,2,tercel              
9038001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9038007,154,3,274,2001,1600,1,1,2,2,-1,corsa               
9038007,155,3,71,2010,1800,1,1,2,2,-1,montana             
9038010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9038013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9038018,153,1,110,1999,1100,1,1,2,2,2,punto               
9045006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9045023,152,2,374,2011,200,1,1,2,2,2,dsf                 
9045023,156,5,384,1998,2000,1,1,2,2,2,no sabe             
9045026,149,1,302,2004,2000,2,1,2,2,2,scenic              
9045032,150,1,279,2004,2000,2,1,2,2,2,307                 
9045034,151,3,1,2013,2000,2,1,2,2,2,actionsport         
9063001,180,2,261,2012,150,1,1,2,2,2,150y                
9063007,181,1,166,2012,1500,1,1,2,2,2,accent              
9063016,183,3,118,1996,2300,1,1,2,2,-1,ranger              
9063018,216,1,197,2013,1100,1,1,2,2,2,morning             
9063021,182,1,70,2011,1100,1,1,2,2,2,iq                  
9068002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9068013,208,3,71,1982,3000,1,2,2,2,2,c10                 
9068014,205,1,83,1996,2000,1,1,2,2,2,espero              
9068015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9068022,206,6,71,2004,2000,1,1,2,2,2,safira              
9068022,207,2,261,2010,150,1,1,2,2,2,150                 
10006012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10006016,139,1,176,2013,1600,1,1,2,2,2,                    
10006017,140,1,71,2006,1600,1,1,2,2,2,optra               
10006018,141,3,269,1987,1600,1,2,2,2,-1,                    
10006020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10007004,137,1,384,1998,1800,1,1,2,2,2,Golf                
10007005,139,4,197,1998,2200,2,1,2,2,-1,Besta               
10007009,133,1,269,1995,15000,1,1,2,2,2,B16                 
10007013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10007038,132,3,71,1989,1600,1,2,2,2,2,luv                 
10011035,188,1,302,2005,1800,1,1,2,2,2,SANMSUNG            
10011041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10011900,183,1,269,2011,2000,1,1,2,2,2,qashqai             
10011901,184,5,279,2013,2000,2,1,-1,2,-1,partner             
10011901,185,1,367,1994,1800,1,1,2,2,2,tercel              
10011902,186,1,38,2012,1800,2,1,2,2,-1,x3                  
10011902,187,1,243,2011,1800,1,1,2,2,2,b1080               
10012002,134,3,250,2010,2500,2,1,-1,2,2,L100                
10012004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10012007,135,1,274,1994,1600,1,2,2,2,2,cedan               
10012011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10012013,136,1,197,2005,14000,1,1,2,2,2,cerato              
10012020,131,1,197,2009,1100,1,1,2,2,2,morning             
10012900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10012901,192,1,352,1991,16,1,2,2,2,2,legacy              
10012901,193,3,367,2009,20,2,1,2,2,2,                    
10012902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10012903,189,1,71,2009,15,1,2,2,2,2,COROLLA             
10012903,190,1,367,2005,16,1,2,2,2,2,COROLLA             
10012903,191,1,1,2009,15,1,2,2,2,2,MISTRAL             
10026005,182,3,356,2002,2000,1,1,2,2,2,gran nomade         
10026006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10026007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10026008,178,1,356,1998,1600,1,1,2,2,2,BALENA              
10026900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10033003,128,1,367,2010,1600,1,1,2,2,2,sedan               
10033006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10033011,125,1,367,2006,1300,1,1,2,2,2,yaris               
10033011,126,3,269,1996,2400,1,1,2,2,2,v21                 
10038003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10038004,137,1,352,1993,2000,1,2,2,2,2,leyale              
10038006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10038012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10047011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054002,142,3,197,1997,2200,2,1,2,2,-1,acia                
10054002,143,3,356,1999,1600,1,1,2,2,2,sidekic             
10054004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054014,138,3,269,2010,3200,2,1,2,2,2,terrano             
10054015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10054900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10056003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10056011,140,1,71,2004,1000,1,1,2,2,2,aveo                
11001005,125,1,71,2010,1800,1,2,2,2,2,cruce               
11001006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11001020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11001051,128,1,166,2004,1600,1,1,2,2,2,                    
11001051,129,3,367,2006,10,2,1,2,2,-1,hylux               
11001054,126,3,367,2010,4000,1,1,2,2,-1,runner              
11001054,127,3,269,2011,1600,2,1,2,2,-1,terrano             
11005021,168,1,317,2005,1500,1,1,2,2,2,sm3                 
11005036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11005091,129,1,367,2009,1300,1,1,2,2,2,rap 4               
11005091,130,3,269,2008,1300,2,1,2,2,2,Terrano             
11005900,169,1,367,2005,1600,1,1,2,2,2,XXX                 
11005901,170,1,367,2011,2000,1,1,2,2,2,RAV 4               
11006016,123,1,279,2003,10,2,1,2,2,-1,                    
11006016,124,3,356,2007,16000,1,1,2,-1,2,vitara              
11006041,122,1,71,2010,1600,1,1,2,-1,2,corsa               
11006087,163,1,384,2005,1600,1,1,2,2,2,gol                 
11006253,130,1,166,1996,2000,1,1,2,2,2,sonata              
11006253,131,3,250,2006,1600,2,1,2,2,-1,hilux               
11006900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11006901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11006905,142,3,352,2008,2500,1,1,-1,2,2,NEW FORESTER        
11006905,143,3,367,2000,2500,1,1,2,2,2,HILLUX              
11006908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11006909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11007900,249,1,279,2008,1400,1,1,2,2,2,203                 
11007901,177,1,156,2011,2000,1,1,2,2,2,TURBO               
11007902,178,1,367,2009,2000,1,1,2,2,2,TERRANO             
11007902,184,1,243,2006,1800,1,2,2,2,2,clasico             
11007902,185,1,118,2010,1200,1,1,2,2,2,portillo golf       
11007903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11007904,179,1,242,1993,1300,1,2,2,2,2,CLIO                
11011005,126,1,197,2004,1500,2,1,-1,2,2,jeep                
11011005,127,1,352,1997,1300,1,1,-1,2,-1,legacy              
11011012,128,1,75,1986,15000,1,2,2,2,2,zx                  
11011024,153,1,279,2004,1600,1,1,2,2,2,206                 
11011026,152,1,110,2006,1400,1,1,2,2,2,palio               
11011033,158,1,274,1992,1300,1,2,2,2,2,ASTRA               
11011033,159,1,71,1986,2600,1,2,2,2,2,ASKA                
11011043,154,1,166,2009,0,1,1,2,2,2,ELANTRA             
11011043,155,1,243,2000,4300,1,1,2,2,2,S430                
11011900,156,3,269,2000,3300,1,1,2,2,2,PITFHINDER          
11011900,157,1,71,2002,2000,1,1,2,2,2,ASTRA               
11014007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11014008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11014009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11014028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11014032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11014036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11014038,250,1,71,2011,1400,1,1,2,2,2,sail                
11014900,251,1,367,2008,1500,1,1,2,2,2,GLS YARIS           
11018022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11018038,161,1,367,2011,2000,1,1,2,2,2,mmm                 
11018085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11018126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11018140,160,3,243,2013,2200,2,1,2,2,2,glk                 
12004004,273,3,182,2004,1800,1,1,2,2,2,gran vitara         
12004006,274,1,250,2012,1600,1,1,2,2,2,lanser              
12004006,275,1,110,2013,1400,2,1,2,2,2,dunlov              
12004007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12004008,271,3,118,2005,2300,1,1,2,2,2,ranger xl           
12004009,272,3,166,2013,2000,2,1,2,2,2,accion              
