IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,trabajaEnCasa,frecuenciaTrabajoCasaId,IDJornadaTrabajo,IngresoLiquido,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor,noviaja,ademasTrabaja,ademasEstudia
2025008,4,1986,1,2,7,0,1,12,0,0,0,0,0,,1,2,30.017280907512692,0,0,0
2025008,5,1986,2,5,5,0,1,1,0,0,1,350000,1,,1,2,30.017280907512692,0,0,0
2025009,1,1959,2,0,7,0,1,1,0,0,1,475000,1,Sin Observación,1,2,30.017280907512692,0,0,0
2025009,2,1993,2,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2025009,3,1985,1,2,7,6,0,14,0,0,0,0,0,Estudiante Universitario no tiene clase el lunes.,1,2,30.017280907512692,0,0,0
2025009,4,1982,1,2,7,0,1,1,0,0,1,350000,1,Sin Observación,1,4,30.017280907512692,0,0,0
2025901,1,1945,1,0,7,0,1,9,0,0,0,475000,1,Sin Observación,0,0,30.017280907512692,0,0,0
2025901,2,1954,2,1,7,0,0,11,0,0,0,0,0,Sin Observación,0,0,30.017280907512692,0,0,0
2025901,3,1987,2,2,6,6,0,14,0,0,0,275000,1,Sin Observación,1,2,30.017280907512692,0,1,0
2027003,1,1933,1,0,5,0,1,9,0,0,0,625000,1,una persona la ingrese en mi casa autorizado por el supervisor,1,3,30.017280907512692,0,0,0
2027003,2,1937,2,1,7,0,1,11,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2027007,1,1951,1,0,5,0,1,1,0,0,1,1050000,1,Rechazo en caracterización de viajes,1,4,30.017280907512692,0,0,0
2027007,2,1960,2,1,5,0,1,1,0,0,1,800000,1,Rechazo en caracterización de viajes,1,4,30.017280907512692,0,0,0
2027007,3,1988,1,2,6,6,0,14,0,0,0,0,0,Rechazo en caracterización de viajes,1,2,30.017280907512692,0,0,0
2027007,4,1990,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2027008,1,1951,1,0,5,0,1,9,0,0,0,1050000,1,los viajes de una persona los escribi en mi casa autorizado por el supervisor,1,4,30.017280907512692,0,1,0
2027008,2,1947,2,1,6,0,0,9,0,0,0,1500001,1,Sin Observación,1,2,30.017280907512692,0,0,0
2027009,1,1972,1,0,7,0,1,1,0,0,1,800000,1,se quedo en la direccion que fue de visita,1,3,30.017280907512692,0,0,0
2027009,2,1973,2,1,7,0,1,1,0,0,1,625000,1,se escribieron 3 personas en mi casa autorizado por el supervisor . no regreso a,1,4,30.017280907512692,0,0,0
2027009,3,1998,2,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,3,30.017280907512692,0,0,0
2027009,4,2005,2,2,3,4,0,14,0,0,0,0,0,,1,4,30.017280907512692,0,0,0
2027901,1,1953,1,0,5,0,1,1,0,0,1,625000,1,no fue a trabajar tenia el dia libre,1,4,30.017280907512692,0,0,0
2027901,2,1956,2,1,5,0,1,1,0,0,1,800000,1,,1,3,30.017280907512692,0,0,0
2030002,1,1975,1,0,7,0,1,1,0,0,1,1350000,1,solo se escribio una persona en el hogar al resto de l familia la ingrese en mi ,1,6,30.017280907512692,0,0,0
2030002,2,1977,2,1,7,0,1,1,0,0,1,800000,1,Sin Observación,1,9,30.017280907512692,0,0,0
2030002,3,2005,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2030002,4,2005,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2030010,1,1961,2,0,5,0,1,11,0,0,0,0,0,solo los viajes de sebastian se escribieron en casa los de el resto de la famili,1,5,30.017280907512692,0,0,0
2030010,2,1988,1,2,7,0,1,12,0,0,0,0,0,,0,0,30.017280907512692,0,0,0
2030010,3,1991,1,2,6,6,0,14,0,0,0,0,0,esta de vacaciones ,1,7,30.017280907512692,0,0,0
2030010,4,1994,1,2,6,6,0,14,0,0,0,0,0,"solo se escribieron los viajes de una persona en casa de de los encuestados , lo",1,4,30.017280907512692,0,0,0
2030010,5,1991,2,4,6,6,0,14,0,0,0,0,0,,1,4,30.017280907512692,0,0,0
2030019,1,1963,1,0,7,0,1,1,0,0,1,1500001,1,Sin Observación,1,5,30.017280907512692,0,0,0
2030019,2,1968,2,1,7,0,1,1,0,0,1,1500001,1,,1,4,30.017280907512692,0,0,0
2030019,3,1997,1,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2030019,4,2000,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2030019,5,2000,1,2,3,4,0,14,0,0,0,0,0,,1,4,30.017280907512692,0,0,0
2030020,1,1949,1,0,7,0,1,1,0,0,1,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2030020,2,1951,2,1,4,0,0,11,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2030020,3,1977,2,2,7,0,1,1,0,0,1,1050000,1,Sin Observación,1,4,30.017280907512692,0,0,0
2030021,1,1959,2,0,7,0,1,1,0,0,1,1500001,1,solo se ingresaron los vijes de una person en la casa  . los otros viajes los in,1,6,30.017280907512692,0,0,0
2030021,2,1990,2,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2030021,3,1933,2,3,4,0,0,11,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2047002,1,1961,1,0,7,0,1,1,0,0,1,1350000,1,"solo se escribieron los viajes de una persona en casa , los del resto  los escri",1,4,30.017280907512692,0,0,0
2047002,2,1965,2,1,7,0,1,1,0,0,1,1050000,1,,1,4,30.017280907512692,0,0,0
2047002,3,1992,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2047002,4,1993,2,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2047002,5,2000,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2047005,1,1949,1,0,7,0,1,1,0,0,1,1500001,1,,1,5,30.017280907512692,0,0,0
2047005,2,1959,2,1,7,0,1,1,0,0,1,1350000,1,Sin Observación,0,0,30.017280907512692,0,0,0
2047005,3,1989,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,5,30.017280907512692,0,0,0
2047005,4,1989,1,2,6,6,0,14,0,0,0,0,0,,1,2,30.017280907512692,0,0,0
2047005,5,1985,2,2,7,0,1,12,0,0,0,0,0,Sin Observación,0,0,30.017280907512692,0,0,0
2047008,1,1970,1,0,7,0,1,1,0,0,1,1500001,1,Sin Observación,1,9,30.017280907512692,0,0,0
2047008,2,1968,2,1,7,0,1,1,0,0,1,1500001,1,Sin Observación,1,4,30.017280907512692,0,0,0
2047008,3,1998,1,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,2,30.017280907512692,0,0,0
2047902,1,1963,1,0,7,0,1,1,0,0,1,1350000,1,3 personas las escribi en mi casa autorizado por el supervisor,0,0,30.017280907512692,0,0,0
2047902,2,1964,2,1,7,0,1,1,0,0,1,1050000,1,,1,6,30.017280907512692,0,0,0
2047902,3,1995,1,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,4,30.017280907512692,0,0,0
2047902,4,1999,1,2,3,4,0,14,0,0,0,0,0,,1,4,30.017280907512692,0,0,0
3003005,1,1959,1,0,7,0,1,1,0,0,1,625000,1,Sin Observación,1,4,16.367841311175606,0,0,0
3003005,2,1968,2,1,7,0,1,1,0,0,1,1350000,1,Sin Observación,1,5,16.367841311175606,0,0,0
3003005,3,1991,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,6,16.367841311175606,0,0,0
3003005,4,1990,2,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,16.367841311175606,0,0,0
3003038,1,1922,2,0,7,0,1,9,0,0,0,275000,1,Sin Observación,1,2,16.367841311175606,0,0,0
3003038,2,1959,2,2,7,0,1,1,0,0,2,625000,1,Sin Observación,1,2,16.367841311175606,0,0,0
3003038,3,1998,1,3,4,4,0,14,0,0,0,0,0,Sin Observación,1,2,16.367841311175606,0,0,0
3003039,1,1965,1,0,7,0,1,1,1,1,1,475000,1,Sin Observación,1,2,16.367841311175606,0,0,0
3003039,2,1968,2,1,7,0,1,1,0,0,2,1050000,1,Sin Observación,1,2,16.367841311175606,0,0,0
3003039,3,2000,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,4,16.367841311175606,0,0,0
3003039,4,2002,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,4,16.367841311175606,0,0,0
3003040,1,1953,1,0,7,0,1,1,0,0,1,800000,1,Sin Observación,1,7,16.367841311175606,0,0,0
3003040,2,1963,2,1,7,0,1,1,0,0,1,625000,1,Sin Observación,1,5,16.367841311175606,0,0,0
3003040,3,1989,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,0,0,16.367841311175606,0,0,0
3003040,4,1991,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,7,16.367841311175606,0,0,0
3003040,5,1998,1,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,6,16.367841311175606,0,0,0
3004002,1,1968,1,0,7,0,1,4,0,0,1,800000,1,Sin Observación,1,6,16.367841311175606,0,0,0
3004002,2,1971,2,1,5,0,1,11,0,0,0,0,0,Sin Observación,1,10,16.367841311175606,0,0,0
3004002,3,1996,1,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,6,16.367841311175606,0,0,0
3004010,1,1970,1,0,5,0,1,9,0,0,0,225000,1,,0,0,16.367841311175606,0,0,0
3004010,2,1944,2,3,4,0,0,11,0,0,0,225000,1,,1,2,16.367841311175606,0,0,0
3004013,1,1959,2,0,7,0,1,1,0,0,2,625000,1,Sin Observación,1,7,16.367841311175606,0,0,0
3004013,2,1957,1,1,7,0,1,4,0,0,1,625000,1,Sin Observación,1,4,16.367841311175606,0,0,0
3004013,3,1990,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,2,16.367841311175606,0,0,0
3004013,4,1993,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,16.367841311175606,0,0,0
3004013,5,1999,2,2,3,4,0,14,0,0,0,0,0,Sin Observación,0,0,16.367841311175606,0,0,0
3004015,1,1944,2,0,7,0,1,1,0,0,1,1350000,1,Sin Observación,1,4,16.367841311175606,0,0,0
3005002,1,1966,2,0,7,0,1,1,0,0,2,625000,1,"El viaje 6 y 7 fue un viaje fallido, ya que fue a buscar a la hija pero esta tuv",1,9,16.367841311175606,0,0,0
3005002,2,1992,2,2,6,6,0,14,0,0,0,225000,1,Sin Observación,1,8,16.367841311175606,0,1,0
3005002,3,1997,2,2,4,4,0,14,0,0,0,0,0,,1,2,16.367841311175606,0,0,0
3005002,4,1999,1,2,3,4,0,14,0,0,0,0,0,Sin Observación,1,6,16.367841311175606,0,0,0
3005007,1,1946,1,0,5,0,1,1,0,0,1,800000,1,Sin Observación,1,6,16.367841311175606,0,0,0
3005007,2,1951,2,1,7,0,0,2,0,0,1,1050000,1,Sin Observación,0,0,16.367841311175606,0,0,0
3005009,1,1943,1,0,5,0,0,2,1,3,1,1050000,1,El encuestado indica que hubiera utilizado el servicio de botes amarillos en su ,1,6,16.367841311175606,0,0,0
3005009,2,1957,2,1,5,0,1,3,1,3,1,1050000,1,,0,0,16.367841311175606,0,0,0
3005012,1,1975,2,0,3,0,0,6,1,3,1,275000,1,Sin Observación,0,0,16.367841311175606,0,0,0
3005012,2,1993,2,5,6,6,0,14,0,0,0,0,0,Sin Observación,1,5,16.367841311175606,0,0,0
3005012,3,1993,2,5,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,16.367841311175606,0,0,0
3005012,4,1993,2,5,6,6,0,14,0,0,0,0,0,Sin Observación,1,3,16.367841311175606,0,0,0
3005012,5,1994,2,5,6,6,0,14,0,0,0,0,0,Sin Observación,1,4,16.367841311175606,0,0,0
3006001,1,1936,2,0,5,0,1,9,0,0,0,475000,1,Sin Observación,1,3,16.367841311175606,0,0,0
3006007,1,1943,2,0,5,0,1,9,0,0,0,275000,1,,1,3,16.367841311175606,0,0,0
3006007,2,1984,2,2,7,0,1,1,0,0,1,475000,1,,1,6,16.367841311175606,0,0,0
3006007,3,1968,2,2,5,0,0,4,0,0,1,625000,1,los viajes los esribi en mi casa autorizado por el supervisor,1,4,16.367841311175606,0,0,0
3006007,4,1995,2,3,4,5,0,14,0,0,0,0,0,,1,4,16.367841311175606,0,0,0
3006010,1,1960,1,0,4,0,0,4,0,0,1,800000,1,Sin Observación,1,4,16.367841311175606,0,0,0
3006010,2,1963,2,1,4,0,0,4,0,0,2,475000,1,Sin Observación,1,2,16.367841311175606,0,0,0
3006012,1,1978,2,0,7,0,1,1,0,0,1,625000,1,Sin Observación,1,5,16.367841311175606,0,0,0
3006012,2,1936,2,3,5,0,1,9,0,0,0,225000,1,los viajes de la señora bernardita los escribi en mi casa autorisado por el supe,1,4,16.367841311175606,0,0,0
4003031,1,1935,2,0,4,0,0,9,0,0,0,165000,1,Sin Observación,0,0,17.72502704501085,0,0,0
4003031,2,1960,1,2,4,0,0,3,0,0,2,350000,1,Sin Observación,1,4,17.72502704501085,0,0,0
4003032,1,1942,2,0,4,0,0,9,0,0,0,225000,1,Sin Observación,1,3,17.72502704501085,0,0,0
4003032,2,1952,1,1,4,0,0,12,0,0,0,0,0,Sin Observación,0,0,17.72502704501085,0,0,0
4003033,1,1930,2,0,1,0,0,9,0,0,0,225000,1,Sin Observación,1,3,17.72502704501085,0,0,0
4003034,1,1933,1,0,3,0,0,9,0,0,0,165000,1,Sin Observación,1,2,17.72502704501085,0,0,0
4006006,1,1967,1,0,3,0,0,12,0,0,0,0,0,Sin Observación,1,2,17.72502704501085,0,0,0
4006006,2,1964,2,1,3,0,0,11,0,0,0,0,0,Sin Observación,1,2,17.72502704501085,0,0,0
4006006,3,1980,1,2,4,0,0,4,0,0,1,350000,1,Sin Observación,1,4,17.72502704501085,0,0,0
4006901,1,1968,1,0,4,0,0,4,0,0,1,350000,1,Sin Observación,1,2,17.72502704501085,0,0,0
4006901,2,1974,2,1,4,0,0,11,0,0,0,0,0,Sin Observación,1,6,17.72502704501085,0,0,0
4006901,3,1996,1,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,2,17.72502704501085,0,0,0
4006902,1,1951,1,0,4,0,0,12,0,0,0,475000,1,RECIBE INGRESO PORQUE ARRIENDA PIEZAS EN SU CASA,0,0,17.72502704501085,0,0,0
4006902,2,1951,2,1,3,0,0,11,0,0,0,0,0,,1,2,17.72502704501085,0,0,0
4006903,1,1935,1,0,3,0,0,9,0,0,0,165000,1,Sin Observación,1,2,17.72502704501085,0,0,0
4006903,2,1935,2,1,4,0,0,9,0,0,0,165000,1,Sin Observación,1,4,17.72502704501085,0,0,0
4006903,3,1978,1,2,4,0,0,3,0,0,3,225000,1,Sin Observación,1,2,17.72502704501085,0,0,0
4008003,1,1960,1,0,4,0,0,4,0,0,1,275000,1,Sin Observación,1,4,17.72502704501085,0,0,0
4008003,2,1960,2,1,4,0,0,4,0,0,1,225000,1,Sin Observación,1,2,17.72502704501085,0,0,0
4008005,1,1961,1,0,3,0,0,9,0,0,0,275000,1,Sin Observación,1,2,17.72502704501085,0,0,0
4008005,2,1962,2,1,4,0,0,11,0,0,0,0,0,Sin Observación,0,0,17.72502704501085,0,0,0
4008005,3,1994,2,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,2,17.72502704501085,0,0,0
4008005,4,1997,1,2,4,4,0,14,0,0,0,0,0,Sin Observación,1,2,17.72502704501085,0,0,0
4008009,1,1940,1,0,5,0,0,9,0,0,0,275000,1,Sin Observación,1,3,17.72502704501085,0,1,0
4008009,2,1935,2,1,4,0,0,11,0,0,0,0,0,Sin Observación,0,0,17.72502704501085,0,0,0
4008901,1,1937,1,0,4,0,0,9,0,0,0,350000,1,Sin Observación,1,2,17.72502704501085,0,0,0
4008901,2,1939,2,1,4,0,0,9,0,0,0,275000,1,Sin Observación,0,0,17.72502704501085,0,0,0
4011019,1,1942,1,0,3,0,0,9,0,0,0,165000,1,Sin Observación,0,0,17.72502704501085,0,0,0
4011019,2,1946,2,1,3,0,0,9,0,0,0,105000,1,Sin Observación,0,0,17.72502704501085,0,0,0
4011020,1,1929,1,0,3,0,0,9,0,0,0,105000,1,PASADA EN CASA CON AUTORIZACION ,0,0,17.72502704501085,0,0,0
4011020,2,1939,2,1,3,0,0,6,0,0,2,165000,1,,1,2,17.72502704501085,0,0,0
4011020,3,1971,2,2,4,0,0,6,0,0,2,165000,1,PASADA EN CASA CON AUTORIZACION,1,2,17.72502704501085,0,0,0
4011020,4,1991,1,2,6,6,0,14,0,0,0,0,0,PASADA EN CASA CON AUTORIZACION. NO FUE ENTREVISTADO PERSONALMENTE,1,2,17.72502704501085,0,0,0
4011020,5,2012,1,3,1,0,0,13,0,0,0,0,0,nieto del jefe de hogar,0,0,17.72502704501085,0,0,0
4011022,1,1959,2,0,4,0,0,11,0,0,0,0,0,Sin Observación,0,0,17.72502704501085,0,0,0
4011022,2,1958,1,3,3,0,0,5,0,0,2,225000,1,VIAJE INGRESADO POSTERIOR A LA ENTREVISTA PERSONAL CON AUTORIZACION DEL COORDINA,1,4,17.72502704501085,0,0,0
4015003,1,1966,1,0,6,0,0,3,0,0,2,625000,1,Sin Observación,1,4,17.72502704501085,0,0,0
4015003,2,1967,2,1,6,0,0,3,0,0,2,350000,1,INGRESO OTORGADO POR SU ESPOSO,0,0,17.72502704501085,0,0,0
4015004,1,1941,1,0,4,0,0,9,0,0,0,225000,1,,1,4,17.72502704501085,0,0,0
4015004,2,1946,2,1,5,0,1,9,0,0,0,225000,1,"VIAJES INGRESADOS POSTERIOR A LA ENTREVISTA PERSONAL, CON AUTORIZACION DEL SUPER",1,4,17.72502704501085,0,0,0
4015004,3,1985,1,2,6,6,0,14,0,0,0,0,0,Sin Observación,1,2,17.72502704501085,0,0,0
4015005,1,1961,2,0,4,0,0,11,0,0,0,0,0,,1,4,17.72502704501085,0,0,0
4015005,2,1957,1,1,4,0,0,5,0,0,1,165000,1,"
INGRESO OTORGADO POR SU ESPOSA",0,0,17.72502704501085,0,0,0
4015005,3,1993,1,2,6,6,0,14,0,0,0,165000,1,ES ESTUDIANTE PERO REALIZA TRABAJOS OCACIONALES ,1,2,17.72502704501085,0,1,0
4015008,1,1941,1,0,3,0,0,9,0,0,0,165000,1,INGRESO OTORGADO POR SU ESPOSA,0,0,17.72502704501085,0,1,0
4015008,2,1941,2,1,3,0,0,11,0,0,0,0,0,,0,0,17.72502704501085,0,0,0
4015010,1,1946,1,0,4,0,0,5,0,0,1,225000,1,,1,2,17.72502704501085,0,0,0
4015010,2,1947,2,1,4,0,0,4,0,0,1,225000,1,NO TRABAJO POR TENER MEDICO,1,2,17.72502704501085,0,0,0
4015010,3,1973,1,2,6,0,0,4,0,0,2,0,0,Sin Observación,1,2,17.72502704501085,0,0,0
